tcid,id,family_id,family,superfamily,description
1.A.1.11,0,1.A.1,VIC,VIC Superfamily,The Voltage-gated Ion Channel (VIC) Superfamily 
1.A.1.12,1,1.A.1,VIC,VIC Superfamily,The Voltage-gated Ion Channel (VIC) Superfamily 
1.A.1.13,2,1.A.1,VIC,VIC Superfamily,The Voltage-gated Ion Channel (VIC) Superfamily 
1.A.1.14,3,1.A.1,VIC,VIC Superfamily,The Voltage-gated Ion Channel (VIC) Superfamily 
1.A.1.15,4,1.A.1,VIC,VIC Superfamily,The Voltage-gated Ion Channel (VIC) Superfamily 
1.A.1.16,5,1.A.1,VIC,VIC Superfamily,The Voltage-gated Ion Channel (VIC) Superfamily 
1.A.1.19,6,1.A.1,VIC,VIC Superfamily,The Voltage-gated Ion Channel (VIC) Superfamily 
1.A.1.2,7,1.A.1,VIC,VIC Superfamily,The Voltage-gated Ion Channel (VIC) Superfamily 
1.A.1.20,8,1.A.1,VIC,VIC Superfamily,The Voltage-gated Ion Channel (VIC) Superfamily 
1.A.1.24,9,1.A.1,VIC,VIC Superfamily,The Voltage-gated Ion Channel (VIC) Superfamily 
1.A.1.28,10,1.A.1,VIC,VIC Superfamily,The Voltage-gated Ion Channel (VIC) Superfamily 
1.A.1.29,11,1.A.1,VIC,VIC Superfamily,The Voltage-gated Ion Channel (VIC) Superfamily 
1.A.1.4,12,1.A.1,VIC,VIC Superfamily,The Voltage-gated Ion Channel (VIC) Superfamily 
1.A.1.5,13,1.A.1,VIC,VIC Superfamily,The Voltage-gated Ion Channel (VIC) Superfamily 
1.A.1.7,14,1.A.1,VIC,VIC Superfamily,The Voltage-gated Ion Channel (VIC) Superfamily 
1.A.1.8,15,1.A.1,VIC,VIC Superfamily,The Voltage-gated Ion Channel (VIC) Superfamily 
1.A.1.9,16,1.A.1,VIC,VIC Superfamily,The Voltage-gated Ion Channel (VIC) Superfamily 
1.A.10.1,17,1.A.10,GIC,VIC Superfamily,The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors
1.A.101.1,18,1.A.101,Pex11,Peroxisomal Peroxin/Unnexin (Pex/Unx) Superfamily,The Peroxisomal Pore-forming Pex11 (Pex11) Family
1.A.102.1,19,1.A.102,PB1-F2,,The Influenza A viroporin PB1-F2 (PB1-F2) Family
1.A.106.1,20,1.A.106,CLAC,,The Calcium Load-activated Calcium Channel (CLAC) Family 
1.A.107.1,21,1.A.107,Globin,,The Pore-forming Globin (Globin) Family
1.A.108.1,22,1.A.108,FGF2,,The Fibroblast Growth Factor 2 (FGF2) Family
1.A.11.1,23,1.A.11,Amt,,The Ammonium Transporter Channel (Amt) Family
1.A.11.2,24,1.A.11,Amt,,The Ammonium Transporter Channel (Amt) Family
1.A.11.4,25,1.A.11,Amt,,The Ammonium Transporter Channel (Amt) Family
1.A.110.1,26,1.A.110,OTOP,,The Channel-forming Otopetrin (OTOP) Family
1.A.111.1,27,1.A.111,Romo1,,The Reactive Oxygen Species Modulator 1 (Romo1) Family 
1.A.112.1,28,1.A.112,CNNM,CNNM/HlyC Superfamily,The Cyclin M Mg2+ Exporter (CNNM) Family
1.A.112.2,29,1.A.112,CNNM,CNNM/HlyC Superfamily,The Cyclin M Mg2+ Exporter (CNNM) Family
1.A.113.2,30,1.A.113,SIMP,Phospholemman/SIMP/Viroporin (PSV) Superfamily,The Small Integral Membrane Protein (SIMP) Family
1.A.113.3,31,1.A.113,SIMP,Phospholemman/SIMP/Viroporin (PSV) Superfamily,The Small Integral Membrane Protein (SIMP) Family
1.A.113.5,32,1.A.113,SIMP,Phospholemman/SIMP/Viroporin (PSV) Superfamily,The Small Integral Membrane Protein (SIMP) Family
1.A.114.1,33,1.A.114,PACC,,The Proton-activated Chloride Channel (PACC) Family
1.A.115.1,34,1.A.115,Ayr1,,The Pore-forming NADPH-dependent 1-Acyldihydroxyacetone Phosphate Reductase (Ayr1) Family
1.A.116.1,35,1.A.116,PRRSV,Viroporin-3 Superfamily,The Pore-forming Porcine Reproductive and Respiratory Syndrome Virus Viroporin (PRRSV) Family
1.A.117.1,36,1.A.117,M-Protein,Viroporin-2 Superfamily,The Coronavirus Membrane Matrix-Protein (M-Protein) Family 
1.A.119.1,37,1.A.119,TMPIT,,The Stress-inducible Transmembrane Protein (TMPIT) Family
1.A.12.1,38,1.A.12,CLIC,,The Intracellular Chloride Channel (CLIC) Family
1.A.121.1,39,1.A.121,APH-WC,,The Anterior Pharynx-defective Water Channel (APH-WC) Family
1.A.124.1,40,1.A.124,SMIM,,The Small Mitochondrial Integral Membrane Protein (SMIM) Family 
1.A.126.1,41,1.A.126,Mpv17,,The Mpv17/Pmp22 4 TMS Putative Channel (Mpv17) Family
1.A.129.1,42,1.A.129,mPTP,,The Mitochondrial Permeability Transition Pore (mPTP) Family
1.A.13.1,43,1.A.13,E-ClC,,The Epithelial Chloride Channel (E-ClC) Family
1.A.130.1,44,1.A.130,MLO,,The Mildew-resistance Locus O (MLO) Family
1.A.131.1,45,1.A.131,P-TRPL-Ch,,The Putative TRP-like Channel (P-TRPL-Ch) Family
1.A.132.1,46,1.A.132,ACCP,Azolectin-Cytochrome c Pore-forming (ACCP) Superfamily,The Azolectin:Cytochrome C Pore (ACCP) Family
1.A.133.1,47,1.A.133,Csx28,,The Bacterial Csx28 Pore-forming (Csx28) Family 
1.A.136.1,48,1.A.136,T10SS,,The Type 10 Protein Secretion System (T10SS) Family
1.A.137.1,49,1.A.137,Ductin,,1.A.137. The Ductin Channel  Complex (Ductin) Family
