sample_id,idx
163,0
238,1
514,2
523,3
528,4
529,5
530,6
563,7
676,8
677,9
678,10
787,11
789,12
793,13
795,14
796,15
799,16
803,17
805,18
806,19
807,20
817,21
824,22
853,23
859,24
862,25
873,26
875,27
876,28
881,29
897,30
898,31
914,32
915,33
916,34
917,35
920,36
922,37
923,38
1006,39
1021,40
1023,41
1024,42
1036,43
1037,44
1038,45
1039,46
1062,47
1068,48
1094,49
1095,50
1109,51
1116,52
1121,53
1133,54
1134,55
1135,56
1136,57
1137,58
1138,59
1139,60
1140,61
1141,62
1142,63
1143,64
1144,65
1145,66
1146,67
1147,68
1148,69
1149,70
1150,71
1151,72
1152,73
1153,74
1154,75
1155,76
1156,77
1157,78
1158,79
1159,80
1160,81
1161,82
1162,83
1163,84
1164,85
1165,86
1166,87
1167,88
1217,89
1218,90
1219,91
1220,92
1221,93
1222,94
1250,95
1251,96
1255,97
1257,98
1259,99
1266,100
1269,101
1270,102
1271,103
1272,104
1273,105
1275,106
1276,107
1277,108
1278,109
1279,110
1280,111
1281,112
1282,113
1283,114
1284,115
1285,116
1286,117
1287,118
1288,119
1289,120
1290,121
1291,122
1292,123
1293,124
1294,125
1295,126
1296,127
1297,128
1298,129
1299,130
1300,131
1332,132
1333,133
1334,134
1336,135
1341,136
1353,137
1361,138
1366,139
1369,140
1371,141
1372,142
1373,143
1374,144
1375,145
1376,146
1377,147
1378,148
1379,149
1380,150
1381,151
1382,152
1383,153
1384,154
1385,155
1386,156
1387,157
1388,158
1389,159
1390,160
1391,161
1392,162
1393,163
1394,164
1395,165
1396,166
1397,167
1398,168
1399,169
1400,170
1401,171
1402,172
1403,173
1404,174
1405,175
1406,176
1408,177
1409,178
1410,179
1411,180
1412,181
1413,182
1414,183
1415,184
1416,185
1417,186
1418,187
1419,188
1420,189
1421,190
1422,191
1423,192
1424,193
1425,194
1426,195
1427,196
1428,197
1429,198
1430,199
1431,200
1432,201
1433,202
1434,203
1435,204
1436,205
1437,206
1438,207
1439,208
1440,209
1441,210
1442,211
1443,212
1444,213
1445,214
1446,215
1447,216
1448,217
1449,218
1450,219
1451,220
1452,221
1453,222
1454,223
1479,224
1480,225
1482,226
1483,227
1626,228
1627,229
1628,230
1629,231
1630,232
1631,233
1632,234
1633,235
1634,236
1635,237
1636,238
1637,239
1640,240
1641,241
1642,242
1713,243
1866,244
1916,245
1963,246
1965,247
1966,248
1967,249
1969,250
1994,251
1995,252
1996,253
1997,254
1998,255
1999,256
2000,257
2001,258
2002,259
2003,260
2004,261
2005,262
2006,263
2007,264
2011,265
2013,266
2015,267
2044,268
2045,269
2185,270
2186,271
2187,272
2228,273
2229,274
2242,275
2243,276
2244,277
2245,278
2246,279
2249,280
2250,281
2251,282
2252,283
2253,284
2254,285
2255,286
2466,287
2467,288
2468,289
2469,290
2470,291
2471,292
2472,293
2473,294
2474,295
2475,296
2476,297
2497,298
2498,299
2499,300
2500,301
2501,302
2502,303
2503,304
2504,305
2505,306
2506,307
2507,308
2508,309
2509,310
2510,311
2511,312
2512,313
2513,314
2514,315
2515,316
2516,317
2517,318
2518,319
2519,320
2520,321
2521,322
2522,323
2523,324
2524,325
2525,326
2526,327
2527,328
2528,329
2529,330
2530,331
2531,332
2532,333
2533,334
2534,335
2535,336
2536,337
2537,338
2538,339
2539,340
2540,341
2541,342
2542,343
2543,344
2544,345
2545,346
2546,347
2547,348
2548,349
2549,350
2550,351
2551,352
2552,353
2553,354
2554,355
2555,356
2556,357
2557,358
2558,359
2559,360
2560,361
2561,362
2562,363
2563,364
2564,365
2565,366
2566,367
2567,368
2568,369
2569,370
2570,371
2571,372
2572,373
2573,374
2574,375
2575,376
2576,377
2577,378
2578,379
2579,380
2580,381
2581,382
2582,383
2583,384
2584,385
2585,386
2586,387
2587,388
2588,389
2589,390
2590,391
2591,392
3982,393
4087,394
4167,395
4187,396
4215,397
4218,398
4221,399
4226,400
4228,401
4302,402
4305,403
4307,404
4313,405
4318,406
4321,407
4322,408
4328,409
4331,410
4335,411
4337,412
4339,413
4340,414
4345,415
4358,416
4364,417
4374,418
4403,419
4405,420
4406,421
4412,422
4426,423
4427,424
4438,425
4447,426
4513,427
4515,428
4523,429
4524,430
4525,431
4526,432
4535,433
4564,434
4576,435
4584,436
4585,437
4595,438
4613,439
4615,440
4617,441
4620,442
4634,443
4647,444
4663,445
4680,446
4681,447
4684,448
4692,449
4712,450
4718,451
4719,452
4780,453
4793,454
4794,455
4797,456
4810,457
4826,458
4830,459
4831,460
4832,461
4839,462
4846,463
4847,464
4874,465
4910,466
4916,467
4922,468
4923,469
4927,470
4938,471
4942,472
4948,473
4962,474
4968,475
4984,476
5004,477
5007,478
5023,479
5024,480
5039,481
5041,482
5047,483
5048,484
5049,485
5095,486
5097,487
5131,488
5164,489
5170,490
5173,491
5224,492
5232,493
5239,494
5257,495
5258,496
5269,497
5274,498
5277,499
5312,500
5313,501
5315,502
5316,503
5337,504
5349,505
5367,506
5370,507
5381,508
5384,509
5386,510
5387,511
5391,512
5409,513
5442,514
5444,515
5446,516
5463,517
5473,518
5502,519
5505,520
5512,521
5518,522
5519,523
5566,524
5588,525
5612,526
5634,527
5645,528
5646,529
5650,530
5652,531
5674,532
5690,533
5706,534
5715,535
5742,536
5745,537
5751,538
5752,539
5753,540
5756,541
5757,542
5761,543
5762,544
5763,545
5764,546
5767,547
5817,548
5836,549
5868,550
5870,551
5888,552
5891,553
5892,554
5898,555
5899,556
5900,557
5901,558
5906,559
5907,560
5929,561
5930,562
5938,563
5941,564
5956,565
5957,566
5966,567
5968,568
5969,569
6009,570
6010,571
6011,572
6012,573
6031,574
6141,575
6142,576
6209,577
6213,578
6225,579
6228,580
6231,581
6268,582
6272,583
6279,584
6280,585
6292,586
6308,587
6309,588
6351,589
6367,590
6377,591
6416,592
6430,593
6433,594
6435,595
6456,596
6520,597
6528,598
6535,599
6551,600
6574,601
6575,602
6580,603
6599,604
6605,605
6629,606
6630,607
6631,608
6667,609
6699,610
6716,611
6717,612
6721,613
6768,614
6774,615
6792,616
6825,617
6831,618
6838,619
6846,620
6847,621
6848,622
6853,623
6863,624
6895,625
6901,626
6902,627
6926,628
6942,629
6946,630
6949,631
6951,632
6975,633
6977,634
6996,635
6997,636
7004,637
7008,638
7009,639
7019,640
7020,641
7100,642
7104,643
7107,644
7113,645
7127,646
7128,647
7131,648
7136,649
7147,650
7161,651
7181,652
7208,653
7209,654
7212,655
7216,656
7233,657
7237,658
7244,659
7256,660
7257,661
7272,662
7273,663
7314,664
7317,665
7326,666
7342,667
7343,668
7357,669
7358,670
7380,671
7384,672
7385,673
7387,674
7396,675
7409,676
7412,677
7478,678
7481,679
7498,680
7500,681
7502,682
7511,683
7527,684
7549,685
7555,686
7558,687
7559,688
7563,689
7565,690
7577,691
7579,692
7601,693
7612,694
7613,695
7614,696
7615,697
7619,698
7639,699
7640,700
7644,701
7650,702
7652,703
7653,704
7658,705
7659,706
7669,707
7701,708
7718,709
7719,710
7727,711
7728,712
7733,713
7737,714
7740,715
7747,716
7809,717
7810,718
7832,719
7833,720
7850,721
7853,722
7860,723
7875,724
7880,725
7896,726
7921,727
7929,728
7937,729
7949,730
7958,731
7971,732
7972,733
7978,734
7993,735
8013,736
8025,737
8033,738
8052,739
8053,740
8055,741
8056,742
8061,743
8062,744
8063,745
8064,746
8071,747
8072,748
8079,749
8171,750
8177,751
8190,752
8191,753
8193,754
8202,755
8214,756
8215,757
8222,758
8224,759
8226,760
8228,761
8230,762
8233,763
8235,764
8237,765
8238,766
8244,767
8245,768
8246,769
8262,770
8269,771
8273,772
8276,773
8277,774
8287,775
8291,776
8304,777
8311,778
8313,779
8428,780
8438,781
8442,782
8483,783
8486,784
8487,785
8495,786
8497,787
8522,788
8571,789
8577,790
8599,791
8617,792
8618,793
8619,794
8620,795
8634,796
8707,797
8711,798
8741,799
8742,800
8756,801
8771,802
8783,803
8787,804
8789,805
8790,806
8809,807
8820,808
8822,809
8829,810
8831,811
8832,812
8937,813
8959,814
8962,815
8965,816
8984,817
8993,818
9014,819
9015,820
9040,821
9041,822
9044,823
9045,824
9048,825
9053,826
9068,827
9083,828
9086,829
9087,830
9090,831
9092,832
9094,833
9098,834
9099,835
9101,836
9102,837
9124,838
9129,839
9151,840
9175,841
9216,842
9231,843
9234,844
9272,845
9280,846
9314,847
9316,848
9340,849
9352,850
9353,851
9359,852
9360,853
9362,854
9383,855
9385,856
9394,857
9395,858
9404,859
9405,860
9406,861
9417,862
9425,863
9435,864
9505,865
9509,866
9512,867
9527,868
9535,869
9543,870
9616,871
9621,872
9651,873
9655,874
9661,875
9710,876
9744,877
9754,878
9768,879
9784,880
9785,881
9792,882
9793,883
9797,884
9800,885
9805,886
9822,887
9830,888
9838,889
9865,890
9877,891
9908,892
9909,893
9975,894
9986,895
10009,896
10011,897
10012,898
10022,899
10024,900
10035,901
10079,902
10116,903
10124,904
10125,905
10136,906
10154,907
10155,908
10179,909
10180,910
10216,911
10227,912
10228,913
10234,914
10241,915
10283,916
10284,917
10317,918
10328,919
10335,920
10359,921
10360,922
10361,923
10362,924
10488,925
10490,926
10500,927
10501,928
10505,929
10506,930
10564,931
10594,932
10617,933
10682,934
10687,935
10707,936
10708,937
10709,938
10747,939
10857,940
10873,941
10874,942
10877,943
10880,944
10907,945
10908,946
10909,947
10911,948
10928,949
10933,950
10935,951
10937,952
10940,953
10941,954
11091,955
11132,956
11133,957
11134,958
11163,959
11183,960
11184,961
11188,962
11190,963
11216,964
11218,965
