fasta,seq_id,length,pLDDT,pTM,pdb_path
progen2_IPR003445_10p_clean,N1U6P9,127,81.70,0.628,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/N1U6P9_plddt_81.7.pdb
progen2_IPR003445_10p_clean,A0A2M8H6J4,128,49.44,0.329,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A2M8H6J4_plddt_49.4.pdb
progen2_IPR003445_10p_clean,A0A399R6R2,128,53.54,0.386,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A399R6R2_plddt_53.5.pdb
progen2_IPR003445_10p_clean,A0ABV2TZV0,131,53.21,0.446,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0ABV2TZV0_plddt_53.2.pdb
progen2_IPR003445_10p_clean,A0A0C2KA81,132,49.33,0.322,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A0C2KA81_plddt_49.3.pdb
progen2_IPR003445_10p_clean,A0AAJ1JLD1,132,61.05,0.538,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0AAJ1JLD1_plddt_61.1.pdb
progen2_IPR003445_10p_clean,A0A5N3S853,132,49.04,0.320,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A5N3S853_plddt_49.0.pdb
progen2_IPR003445_10p_clean,A0A1K1R931,112,50.16,0.325,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A1K1R931_plddt_50.2.pdb
progen2_IPR003445_10p_clean,A0A134CEV8,117,52.57,0.389,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A134CEV8_plddt_52.6.pdb
progen2_IPR003445_10p_clean,A0ABT5TQS5,117,60.46,0.544,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0ABT5TQS5_plddt_60.5.pdb
progen2_IPR003445_10p_clean,A0ABV1FZW5,121,54.60,0.432,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0ABV1FZW5_plddt_54.6.pdb
progen2_IPR003445_10p_clean,D5BHB1,123,48.49,0.319,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/D5BHB1_plddt_48.5.pdb
progen2_IPR003445_10p_clean,A0A3N9TBV4,124,49.28,0.307,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A3N9TBV4_plddt_49.3.pdb
progen2_IPR003445_10p_clean,A0A1H2F9T5,125,53.35,0.459,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A1H2F9T5_plddt_53.3.pdb
progen2_IPR003445_10p_clean,A0A238LG57,127,53.42,0.389,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A238LG57_plddt_53.4.pdb
progen2_IPR003445_10p_clean,A0A420W5B4,135,56.35,0.483,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A420W5B4_plddt_56.4.pdb
progen2_IPR003445_10p_clean,A0A323UYL8,135,51.81,0.427,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A323UYL8_plddt_51.8.pdb
progen2_IPR003445_10p_clean,A0A8T7H8Q4,137,44.99,0.277,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A8T7H8Q4_plddt_45.0.pdb
progen2_IPR003445_10p_clean,A0A9D9IB30,138,46.57,0.294,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A9D9IB30_plddt_46.6.pdb
progen2_IPR003445_10p_clean,A0ABV0FW42,138,49.28,0.366,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0ABV0FW42_plddt_49.3.pdb
progen2_IPR003445_10p_clean,A0ABX7EXM1,139,48.22,0.330,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0ABX7EXM1_plddt_48.2.pdb
progen2_IPR003445_10p_clean,A0A0X4ENI3,139,45.42,0.265,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A0X4ENI3_plddt_45.4.pdb
progen2_IPR003445_10p_clean,M5PPQ7,141,41.77,0.241,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/M5PPQ7_plddt_41.8.pdb
progen2_IPR003445_10p_clean,E4PN20,141,45.51,0.261,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/E4PN20_plddt_45.5.pdb
progen2_IPR003445_10p_clean,W4LVC3,143,47.53,0.277,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/W4LVC3_plddt_47.5.pdb
progen2_IPR003445_10p_clean,A0A939CHU8,149,56.00,0.422,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A939CHU8_plddt_56.0.pdb
progen2_IPR003445_10p_clean,A0ABT8N1K5,152,52.74,0.431,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0ABT8N1K5_plddt_52.7.pdb
progen2_IPR003445_10p_clean,A0A1H7FMI4,153,59.43,0.455,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A1H7FMI4_plddt_59.4.pdb
progen2_IPR003445_10p_clean,A0A2M8TNM4,153,48.38,0.299,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A2M8TNM4_plddt_48.4.pdb
progen2_IPR003445_10p_clean,A0AAU8ZQP6,154,55.93,0.396,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0AAU8ZQP6_plddt_55.9.pdb
progen2_IPR003445_10p_clean,A0ABS3EBZ7,155,58.05,0.488,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0ABS3EBZ7_plddt_58.1.pdb
progen2_IPR003445_10p_clean,A0A1I6GVF9,164,50.43,0.291,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A1I6GVF9_plddt_50.4.pdb
progen2_IPR003445_10p_clean,A0A501WV44,166,62.67,0.492,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A501WV44_plddt_62.7.pdb
progen2_IPR003445_10p_clean,A0A7L9MD54,167,53.38,0.452,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A7L9MD54_plddt_53.4.pdb
progen2_IPR003445_10p_clean,A0A6J4RXM4,167,51.74,0.335,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A6J4RXM4_plddt_51.7.pdb
progen2_IPR003445_10p_clean,A0A0U5G3L1,171,27.29,0.180,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A0U5G3L1_plddt_27.3.pdb
progen2_IPR003445_10p_clean,A0A7W5DYC5,174,58.86,0.359,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A7W5DYC5_plddt_58.9.pdb
progen2_IPR003445_10p_clean,G9WM46,180,70.03,0.746,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/G9WM46_plddt_70.0.pdb
progen2_IPR003445_10p_clean,A0A3R6EA81,180,50.71,0.286,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A3R6EA81_plddt_50.7.pdb
progen2_IPR003445_10p_clean,A0A7G9FYW3,184,46.31,0.259,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A7G9FYW3_plddt_46.3.pdb
progen2_IPR003445_10p_clean,A0A1I7ICP7,186,46.67,0.287,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A1I7ICP7_plddt_46.7.pdb
progen2_IPR003445_10p_clean,A0A4V5P211,187,55.00,0.439,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A4V5P211_plddt_55.0.pdb
progen2_IPR003445_10p_clean,A0AAU7PTJ5,188,48.54,0.332,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0AAU7PTJ5_plddt_48.5.pdb
progen2_IPR003445_10p_clean,A0A6H3NXB4,189,47.21,0.285,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A6H3NXB4_plddt_47.2.pdb
progen2_IPR003445_10p_clean,R6TEQ4,192,56.30,0.400,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/R6TEQ4_plddt_56.3.pdb
progen2_IPR003445_10p_clean,A0AAW5JK80,196,58.84,0.410,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0AAW5JK80_plddt_58.8.pdb
progen2_IPR003445_10p_clean,A0A413II45,196,58.94,0.326,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A413II45_plddt_58.9.pdb
progen2_IPR003445_10p_clean,A0A3A8BC82,197,53.36,0.278,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A3A8BC82_plddt_53.4.pdb
progen2_IPR003445_10p_clean,A0A1Y5SQC1,199,73.65,0.586,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A1Y5SQC1_plddt_73.7.pdb
progen2_IPR003445_10p_clean,A0AAE9SMB5,213,71.31,0.768,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0AAE9SMB5_plddt_71.3.pdb
progen2_IPR003445_10p_clean,A0ABQ1XH31,214,54.84,0.465,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0ABQ1XH31_plddt_54.8.pdb
progen2_IPR003445_10p_clean,A0ABS1RGV0,223,57.47,0.289,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0ABS1RGV0_plddt_57.5.pdb
progen2_IPR003445_10p_clean,A0A6N2UPM9,225,76.08,0.710,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A6N2UPM9_plddt_76.1.pdb
progen2_IPR003445_10p_clean,A0A377JJW1,199,54.53,0.314,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A377JJW1_plddt_54.5.pdb
progen2_IPR003445_10p_clean,A0A2N9Y4Q6,201,48.13,0.352,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A2N9Y4Q6_plddt_48.1.pdb
progen2_IPR003445_10p_clean,A0A6I3PFA3,202,52.09,0.317,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A6I3PFA3_plddt_52.1.pdb
progen2_IPR003445_10p_clean,A0ABY4HL49,205,49.79,0.400,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0ABY4HL49_plddt_49.8.pdb
progen2_IPR003445_10p_clean,K2R637,212,45.02,0.279,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/K2R637_plddt_45.0.pdb
progen2_IPR003445_10p_clean,A0ABP3GFA7,229,47.06,0.292,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0ABP3GFA7_plddt_47.1.pdb
progen2_IPR003445_10p_clean,A0ABU8TSP8,229,54.27,0.399,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0ABU8TSP8_plddt_54.3.pdb
progen2_IPR003445_10p_clean,A0A397Y493,231,83.86,0.883,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A397Y493_plddt_83.9.pdb
progen2_IPR003445_10p_clean,A0ABY1S4S4,232,41.76,0.269,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0ABY1S4S4_plddt_41.8.pdb
progen2_IPR003445_10p_clean,A0A9X0WDS7,233,75.08,0.815,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A9X0WDS7_plddt_75.1.pdb
progen2_IPR003445_10p_clean,A0A926UUE2,236,65.41,0.567,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A926UUE2_plddt_65.4.pdb
progen2_IPR003445_10p_clean,A0A0E0UVN6,237,73.25,0.695,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A0E0UVN6_plddt_73.2.pdb
progen2_IPR003445_10p_clean,A0ABP9DBB7,247,46.75,0.264,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0ABP9DBB7_plddt_46.7.pdb
progen2_IPR003445_10p_clean,I4CTQ9,250,55.22,0.544,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/I4CTQ9_plddt_55.2.pdb
progen2_IPR003445_10p_clean,R0HEH9,269,61.85,0.649,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/R0HEH9_plddt_61.8.pdb
progen2_IPR003445_10p_clean,A0A3E1QCG8,271,89.61,0.798,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A3E1QCG8_plddt_89.6.pdb
progen2_IPR003445_10p_clean,G0HYK8,276,51.13,0.274,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/G0HYK8_plddt_51.1.pdb
progen2_IPR003445_10p_clean,A0A1R3EL89,281,65.90,0.707,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A1R3EL89_plddt_65.9.pdb
progen2_IPR003445_10p_clean,A0A4R6HIK5,290,63.08,0.681,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A4R6HIK5_plddt_63.1.pdb
progen2_IPR003445_10p_clean,A0A345IGE9,291,45.97,0.273,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A345IGE9_plddt_46.0.pdb
progen2_IPR003445_10p_clean,A0ABY8KE53,292,88.48,0.886,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0ABY8KE53_plddt_88.5.pdb
progen2_IPR003445_10p_clean,S7I768,293,50.42,0.316,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/S7I768_plddt_50.4.pdb
progen2_IPR003445_10p_clean,I8ZKE1,294,89.25,0.810,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/I8ZKE1_plddt_89.2.pdb
progen2_IPR003445_10p_clean,A0A6N3BTL7,296,92.74,0.917,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A6N3BTL7_plddt_92.7.pdb
progen2_IPR003445_10p_clean,A0A328NNI2,298,90.77,0.911,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A328NNI2_plddt_90.8.pdb
progen2_IPR003445_10p_clean,A0A374P7D0,302,44.71,0.346,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A374P7D0_plddt_44.7.pdb
progen2_IPR003445_10p_clean,A8RTZ2,302,64.82,0.725,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A8RTZ2_plddt_64.8.pdb
progen2_IPR003445_10p_clean,A0ABD6XG69,302,71.16,0.725,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0ABD6XG69_plddt_71.2.pdb
progen2_IPR003445_10p_clean,A0AAV3GUA8,304,85.16,0.894,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0AAV3GUA8_plddt_85.2.pdb
progen2_IPR003445_10p_clean,A0A7H2BK15,306,71.04,0.333,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A7H2BK15_plddt_71.0.pdb
progen2_IPR003445_10p_clean,A0A844XAB0,311,86.82,0.910,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A844XAB0_plddt_86.8.pdb
progen2_IPR003445_10p_clean,A0A937F5D0,318,78.13,0.831,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A937F5D0_plddt_78.1.pdb
progen2_IPR003445_10p_clean,A0A0A2FIF6,322,39.72,0.293,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A0A2FIF6_plddt_39.7.pdb
progen2_IPR003445_10p_clean,A0A2D0J5L7,324,51.86,0.505,/ibex/project/c2108/junbo/results/generation-results/progen2_transporter_results/esmfold_pdb/progen2_IPR003445_10p_clean/A0A2D0J5L7_plddt_51.9.pdb
