fasta,seq_id,length,pLDDT,pTM,pdb_path
IPR003445_sample1000,A0AAJ0HJY8_unreviewed_Uncharacterized,60,46.14,0.153,/ibex/project/c2108/junbo/results/generation-results/ProteinDt_transporter_results/esmfold_pdb/IPR003445_sample1000/A0AAJ0HJY8_unreviewed_Uncharacterized_plddt_46.1.pdb
IPR003445_sample1000,A0ABX1DV37_unreviewed_Uncharacterized,76,78.12,0.669,/ibex/project/c2108/junbo/results/generation-results/ProteinDt_transporter_results/esmfold_pdb/IPR003445_sample1000/A0ABX1DV37_unreviewed_Uncharacterized_plddt_78.1.pdb
IPR003445_sample1000,A0A6G2D7T8_unreviewed_TrkH,78,78.96,0.731,/ibex/project/c2108/junbo/results/generation-results/ProteinDt_transporter_results/esmfold_pdb/IPR003445_sample1000/A0A6G2D7T8_unreviewed_TrkH_plddt_79.0.pdb
IPR003445_sample1000,A0A4U3LNY0_unreviewed_Trk,79,68.92,0.496,/ibex/project/c2108/junbo/results/generation-results/ProteinDt_transporter_results/esmfold_pdb/IPR003445_sample1000/A0A4U3LNY0_unreviewed_Trk_plddt_68.9.pdb
IPR003445_sample1000,A0A1B6NQR7_unreviewed_Trk,85,54.29,0.330,/ibex/project/c2108/junbo/results/generation-results/ProteinDt_transporter_results/esmfold_pdb/IPR003445_sample1000/A0A1B6NQR7_unreviewed_Trk_plddt_54.3.pdb
IPR003445_sample1000,A0A5S9M7G2_unreviewed_Ktr,91,73.40,0.635,/ibex/project/c2108/junbo/results/generation-results/ProteinDt_transporter_results/esmfold_pdb/IPR003445_sample1000/A0A5S9M7G2_unreviewed_Ktr_plddt_73.4.pdb
IPR003445_sample1000,D7UBM2_unreviewed_Cation,93,68.22,0.625,/ibex/project/c2108/junbo/results/generation-results/ProteinDt_transporter_results/esmfold_pdb/IPR003445_sample1000/D7UBM2_unreviewed_Cation_plddt_68.2.pdb
IPR003445_sample1000,A0ABY2KJ49_unreviewed_Uncharacterized,97,72.28,0.664,/ibex/project/c2108/junbo/results/generation-results/ProteinDt_transporter_results/esmfold_pdb/IPR003445_sample1000/A0ABY2KJ49_unreviewed_Uncharacterized_plddt_72.3.pdb
IPR003445_sample1000,A0A1C7MPE4_unreviewed_Uncharacterized,103,49.01,0.218,/ibex/project/c2108/junbo/results/generation-results/ProteinDt_transporter_results/esmfold_pdb/IPR003445_sample1000/A0A1C7MPE4_unreviewed_Uncharacterized_plddt_49.0.pdb
IPR003445_sample1000,A0A368US77_unreviewed_Cation,106,75.81,0.675,/ibex/project/c2108/junbo/results/generation-results/ProteinDt_transporter_results/esmfold_pdb/IPR003445_sample1000/A0A368US77_unreviewed_Cation_plddt_75.8.pdb
