fasta,seq_id,length,pLDDT,pTM,pdb_path
esm3_IPR003445_mask80,A0AAJ0HJY8_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_60_prompt_len_60_gen_len_60,60,47.40,0.236,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0AAJ0HJY8_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_60_prompt_len_60_gen_len_60_plddt_47.4.pdb
esm3_IPR003445_mask80,A0ABX1DV37_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_76_prompt_len_76_gen_len_76,76,63.81,0.474,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0ABX1DV37_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_76_prompt_len_76_gen_len_76_plddt_63.8.pdb
esm3_IPR003445_mask80,A0A6G2D7T8_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_78_prompt_len_78_gen_len_78,78,61.17,0.397,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A6G2D7T8_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_78_prompt_len_78_gen_len_78_plddt_61.2.pdb
esm3_IPR003445_mask80,A0A4U3LNY0_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_79_prompt_len_79_gen_len_79,79,68.92,0.643,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A4U3LNY0_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_79_prompt_len_79_gen_len_79_plddt_68.9.pdb
esm3_IPR003445_mask80,A0A1B6NQR7_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_85_prompt_len_85_gen_len_85,85,57.55,0.329,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A1B6NQR7_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_85_prompt_len_85_gen_len_85_plddt_57.6.pdb
esm3_IPR003445_mask80,A0A5S9M7G2_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_91_prompt_len_91_gen_len_91,91,48.75,0.239,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A5S9M7G2_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_91_prompt_len_91_gen_len_91_plddt_48.7.pdb
esm3_IPR003445_mask80,D7UBM2_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_93_prompt_len_93_gen_len_93,93,45.10,0.374,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/D7UBM2_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_93_prompt_len_93_gen_len_93_plddt_45.1.pdb
esm3_IPR003445_mask80,A0ABY2KJ49_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_97_prompt_len_97_gen_len_97,97,77.70,0.704,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0ABY2KJ49_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_97_prompt_len_97_gen_len_97_plddt_77.7.pdb
esm3_IPR003445_mask80,A0A1C7MPE4_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_103_prompt_len_103_gen_len_103,103,33.42,0.187,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A1C7MPE4_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_103_prompt_len_103_gen_len_103_plddt_33.4.pdb
esm3_IPR003445_mask80,A0A368US77_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_106_prompt_len_106_gen_len_106,106,75.75,0.662,/ibex/project/c2108/junbo/results/generation-results/esm3_transporter_msak80/esmfold_pdb/esm3_IPR003445_mask80/A0A368US77_sample1_ipr_IPR003445_mask_ratio_0.8_orig_len_106_prompt_len_106_gen_len_106_plddt_75.8.pdb
